                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1364,                 4.7759,                 4.7817,                      0,                      0,                      0,                      0,                 2.9064,                 4.6947,                 4.1589,               7.69e-06,               7.69e-06,               7.69e-06
                      2,                 3.5172,                 4.7571,                 4.4839,                      0,                      0,                      0,                      0,                 2.9064,                 4.6947,                 4.1591,             2.0786e-05,             2.0786e-05,             2.0786e-05
                      3,                 3.6496,                 4.7569,                 4.4817,                      0,                      0,                      0,                      0,                 2.9066,                  4.691,                 4.1592,             3.0837e-05,             3.0837e-05,             3.0837e-05
                      4,                 2.9534,                 4.7233,                 4.3765,                      0,                      0,                      0,                      0,                 2.9102,                 4.6928,                 4.1594,             3.7842e-05,             3.7842e-05,             3.7842e-05
                      5,                 3.9861,                 4.7152,                 4.5982,                      0,                      0,                      0,                      0,                  2.917,                 4.6931,                 4.1594,             4.1803e-05,             4.1803e-05,             4.1803e-05
                      6,                 3.0261,                 4.6636,                 4.2395,                      0,                      0,                      0,                      0,                  2.919,                 4.6938,                 4.1594,             4.2718e-05,             4.2718e-05,             4.2718e-05
                      7,                  3.201,                 4.6908,                 4.4104,                      0,                      0,                      0,                      0,                 2.9189,                 4.6945,                 4.1599,             4.0588e-05,             4.0588e-05,             4.0588e-05
                      8,                 3.6659,                 4.6292,                 4.5912,                      0,                      0,                      0,                      0,                 2.9176,                 4.6938,                   4.16,             3.5412e-05,             3.5412e-05,             3.5412e-05
                      9,                 2.9382,                 4.6955,                 4.2371,                      0,                      0,                      0,                      0,                 2.9205,                 4.6921,                   4.16,             2.7192e-05,             2.7192e-05,             2.7192e-05
                     10,                 2.8623,                 4.6635,                 4.3598,                      0,                      0,                      0,                      0,                 2.9197,                 4.6944,                 4.1602,             1.5926e-05,             1.5926e-05,             1.5926e-05
